File Name,Old Key,Translation
de.kdd1.txt,First Level,Erster Level
de.kdd1.txt,Second Level,Zweiter Level
de.kdd1.txt,Third Level,Dritter Level
de.kdd1.txt,Fourth Level,Vierter Level
de.kdd1.txt,Mastery Level,Meisterlevel
de.kdd1.txt,entr1,"Beethro Budkin, professioneller Kerkerjäger der fünften Generation, wurde von König Dugan angestellt um den weitläufigen königlichen Kerker von einem erheblichen Monsterbefall zu befreien.
Beethro veranschlagt einen Festbetrag pro Raum, und als Profi ist er per Vertrag daran gebunden, die Monster aus ausnahmslos jedem Raum des Kerkers zu beseitigen, bevor er ausbezahlt wird.
Die einzige Waffe, die Beethro benötigt um seine Aufgabe zu erfüllen, ist ein echt großes Schwert, welches jedes Monster mit einem einzigen Schlag vernichtet.

-----

„Ich hoffe Du berechnest mir nicht das oberste Stockwerk. Ich habe dieses bereits saubergemacht. Na gut, größtenteils.“ -König Dugan"
de.kdd1.txt,entr2,"Beethro ist ein wenig eingerostet, aber die nächste Etage sollte ihn gut in Hackform bringen."
de.kdd1.txt,entr3,"„Hmm...“, grübelte Beethro. „Bis jetzt sehe ich fast nur Schaben hier unten. Das sieht nach einem kinderleichten Auftrag aus.“"
de.kdd1.txt,entr4,"„Ich wünschte, ich hätte einige von diesen Imitaten hier unten bei mir!“, sagte Beethro. „Es würde um einiges schneller gehen.“"
de.kdd1.txt,entr4Back,"Beethro kam zurück, um jene einwandfreie Totschlag-Arbeit abzuliefern, für die er engagiert wurde."
de.kdd1.txt,entrMaster,"Beethro stieg die Stufen hinab, einzig dafür um einen nicht verzeichneten Verbindungsgang vorzufinden...

Er würde nicht für die Säuberung hier bezahlt werden, aber seine Berufsehre drängte ihn vorwärts."
de.kdd1.txt,sc1e0,"Benutzen Sie den Ziffernblock oder 789uiojkl, um sich zu bewegen. Die Tastenbelegung kann über das Pausenmenü verändert werden (Escape)."
de.kdd1.txt,sc1e1,"Um die Steuerung zu einem späteren Zeitpunkt nachzuschlagen, drücken Sie `Escape`, wählen `Allgemeine Hilfe` und den Unterpunkt `Spielanleitung`."
de.kdd1.txt,sc1_1n,"Diese gelbe Tür wird später noch ihrem Zweck dienen. 

 Gehen Sie fürs Erste weiter nach Westen."
de.kdd1.txt,sc1_1n1w1,Rotieren Sie Ihr Schwert mittels `Q` und `W`.
de.kdd1.txt,sc1_1n1w2,Streifen Sie die Schaltkugel mit Ihrem Schwert um Türen in diesem Raum zu öffnen.
de.kdd1.txt,sc1_1n1w3,Einige Schaltkugeln schalten zwischen dem geöffneten und geschlossenen Zustand der Türen hin- und her.
de.kdd1.txt,sc1_2n1w1,"Sie können feststellen was eine Schaltkugel tut, indem Sie sie mit der Maus anklicken. Die unterschiedlichen Farben der markierten Türen kennzeichnen unterschiedliche Effekte."
de.kdd1.txt,sc1_2n1w2,"Anstatt eine gelbe Tür abwechselnd zu öffnen und zu schließen, kann eine Schaltkugel sie auch jedes Mal öffnen oder jedes Mal schließen."
de.kdd1.txt,sc1_3n1w1,"Blaue Tore öffnen sich, sobald Sie alle geforderten Räume einer gegebenen Ebene (Etage) erobert haben."
de.kdd1.txt,sc1_3n1w2,Geforderte Räume sind durch einen roten Hintergrund auf der Übersichtskarte markiert.
de.kdd1.txt,sc1_3n2w1,Das gerade Gesprochene und eingeblendete Texte können mit der Leertaste übersprungen werden.
de.kdd1.txt,sc1_3n2w2,"Sobald Sie einen von allen Monstern befreiten Raum verlassen, wird er als erobert markiert."
de.kdd1.txt,sc1_3n2w3,"Auf der Übersichtskarte sind eroberte Räume weiß dargestellt - im Gegensatz zu den nicht eroberten, welche rot sind."
de.kdd1.txt,sc1_3n2w4,"Erobern Sie alle geforderten Räume, um Ihren Weg zur nächsten Ebene freizumachen."
de.kdd1.txt,sc1_4n3w,Richtungspfeile blockieren sowohl Beethros als auch die Monster-bewegungen in die entgegengesetzte Richtung.
de.kdd1.txt,sc1_4n1w,Grüne Tore öffnen sich sobald Sie einen Raum von allen Monstern befreit haben.
de.kdd1.txt,sc1_5n1w1,"Beobachten Sie, wie sich die südliche Schabe verhält, wenn sie auf eine Ecke aufläuft. Mit ""I"" oder der 5 im Ziffernblock können Sie einen Zug warten."
de.kdd1.txt,sc1_5n1w2,"Die meisten Monster werden, wenn sie sich auf eine Ecke bewegen wollen, vertikal entlanggleiten, wenn dies möglich ist."
de.kdd1.txt,sc1_5n2w1,"Denken Sie daran, dass Sie mit der Maus auf eine Schaltkugel klicken können um zu erfahren, welche Türen sie beeinflusst."
de.kdd1.txt,sc1_5n2w2,"Vorsicht! Hier ist es gefährlich.

Wenn Sie einen Fehler machen, drücken Sie die `Rücktaste`, um bis zu drei ihrer letzten Aktionen rückgängig zu machen."
de.kdd1.txt,sc1_5n2w3,Sie können ihre Aktion auch dann zurücknehmen (und neu beginnen) wenn die Todesanimation abgespielt wird!
de.kdd1.txt,sc1_5n2w4,"Mit Berühren eines Rücksetz-punkts 'X' können Sie den Raumzustand speichern.
Drücken Sie `R`, um zum letzten Rücksetzpunkt zurückzukehren oder den Raum neu zu beginnen."
de.kdd1.txt,sc1_6n2w,"Ein guter Schwertkämpfer kann all diese Schaben besiegen, ohne den südlichen Alkoven zur Deckung zu nutzen!"
de.kdd1.txt,sc1_6n3w1,"Verwenden Sie den Durchgangshieb, um diese Schabe zu besiegen."
de.kdd1.txt,sc1_6n3w2,"Stellen Sie sich auf den grünen Boden und stellen Sie sicher, dass sich die Schabe auf dem Sandfeld direkt nördlich von Ihnen befindet..."
de.kdd1.txt,sc1_6n3w3,"Stellen Sie sich auf den grünen Boden und stellen Sie sicher, dass sich die Schabe auf dem Sandfeld direkt südlich von Ihnen befindet..."
de.kdd1.txt,sc1_6n3w4,...dann bewegen Sie sich nach Nordosten um sie zu töten.
de.kdd1.txt,sc1_6n3w5,...dann bewegen Sie sich nach Südosten um sie zu töten.
de.kdd1.txt,sc1_6n3w6,"Wiederholen Sie die Prozedur, um den Durchgangshieb zu analysieren. Meistern Sie diese Technik, denn sie wird sich bei Ihrem weiteren Unterfangen als unverzichtbar herausstellen."
de.kdd1.txt,sc1_5n1,Der Notausgang ist außer Betrieb.
de.kdd1.txt,sc1_5n2,"Tschuldige'err wir werden's Bau'n net fertigkrie'n wenn de große' Schabens hier frei rumlofen!"
de.kdd1.txt,sc1_4n,Bitte halten Sie die Gewächshaustüren geschlossen.
de.kdd1.txt,sc1_1n1e,"Diese Stufen führen zur nächsten Ebene. Nehmen Sie sich vor dem in Acht, was Sie dort erwartet..."
de.kdd1.txt,sc2_2n1,"Wussten Sie, dass Sie die Umschalttaste während der Ausführung einer Aktion gedrückt halten können, um automatisch auch dessen Umkehrung auszuführen?"
de.kdd1.txt,sc2_2n2,"Umschalt+Warten lässt sie bis zur nächsten Eiablage warten, und `Ziffernblock +` oder `=` führt die Umkehrung Ihrer letzten Aktion aus!"
de.kdd1.txt,sc2_1n1e,Sie sollten nicht so zerstörerisch sein.
de.kdd1.txt,sc2e,"Erledigen Sie zuerst die Räume nach Norden hin, sonst müssen Sie dazu nochmal hierher zurück."
de.kdd1.txt,sc2_1s3e1,"Sie können verhindern, dass Sie unbeabsichtigt einen Raum verlassen, indem Sie auf Ihrer Tastatur 'X' drücken."
de.kdd1.txt,sc2_1s3e2,"Ein kleines Schloss auf der Übersichtskarte zeigt an, dass ein Raum verriegelt wurde."
de.kdd1.txt,sc2_1s,"Tut es nicht! Es ist offensichtlich, was passieren wird!"
de.kdd1.txt,sc2_2s3e,Gutes Timing macht die Dinge wesentlich einfacher.
de.kdd1.txt,sc3_3n,Ich muss Euch vor Imitaten warnen. Sie sind weder Eure Freunde noch Eure Feinde--sie bewegen sich ganz einfach exakt so wie Ihr. Dreht ihnen nicht den Rücken zu.
de.kdd1.txt,sc3_3n1e,"Alle Gefangenen wurden von Kerkerschaben verspeist, und ich bin der nächste! Ihr könnt mir gar nicht genug zahlen um diesen Job zu machen. Ich bin raus hier!

-Der Aufseher"
de.kdd1.txt,sc3_2n,"Es ist möglich in diesen Durchgang zu gelangen, ohne den Raum nach der Eroberung erneut zu betreten."
de.kdd1.txt,sc3_1n1w,"Nach Verwendung des Unsichtbarkeits- tranks können sie Euch nicht sehen, aber sie können Euch noch immer riechen wenn Ihr ihnen zu nahe kommt."
de.kdd1.txt,sc3_1e,So ein langer Weg. Er erscheint beinahe unnötig.
de.kdd1.txt,sc3_1s,"Die Acht Tore des Toren--in der Tat ein eindrucksvolles Rätsel. Es war einst wesentlich schwieriger, aber ich kann nun die Schaltkugeln überprüfen um zu sehen was sie bewirken."
de.kdd1.txt,sc3_2s1w,"Hier ist etwas das ich Euch erzählen werde--wann immer Ihr lange und mühselige Pfade seht, solltet Ihr nach Abkürzungen Ausschau halten."
de.kdd1.txt,sc3_2s1,"Kehrt um! Wusstet Ihr, dass allein im letzten Jahr kerkerbezogene Tode um 32 Prozent gestiegen sind?"
de.kdd1.txt,sc3_2s2,"Seht den Tatsachen ins Auge--Kerkererkundung ist NICHT sicher, besonders in Verbindung mit Rauschgiften.
-EGTIK (Eltern Gegen Tode Im Kerker)"
de.kdd1.txt,sc4_2n1e1,Dies ist eine Meistermauer. Sie wird sich erst öffnen wenn Sie die Feste bezwungen und alle Geheimnisse erobert haben.
de.kdd1.txt,sc4_2n1e2,"Im ursprünglichen ""King Dugan's Dungeon"" war dies ein Warp-Raum, mit dessen Hilfe Sie ein oder zwei Level überspringen konnten."
de.kdd1.txt,sc4_1n1,"Hinweis:

Sie benötigen nicht die Hilfe der Imitate um die Schaben am Eingang zu bekämpfen."
de.kdd1.txt,sc4_1n2,"Hinweis:

Denken Sie scharf nach, Sie können den sehr hilf-reichen DURCH-GANGSHIEB einsetzen -- gut, wenn sich zu beiden Seiten neben Ihnen ein Monster befindet!"
de.kdd1.txt,sc4_2e,"Wenn Sie Stil bewiesen haben, sollten sich alle 9 Imitate in einer Linie rechts von Ihnen befinden."
de.kdd1.txt,scMe1,Schwierigere Versionen von vorherigen Rätseln.
de.kdd1.txt,scMe2,Letzte Worte!
de.kdd1.txt,scMe3,"Schwierige, neue Räume."
de.kdd1.txt,scM_1s1,"Das war's. Sie haben nun alles vollendet, was es in diesem Spiel zu sehen gab. Es sind höchstens noch ein paar Errungenschaften übrig."
de.kdd1.txt,scM_1s2,"Ich gratuliere Ihnen aufrichtig und lade Sie dazu ein, die Reise fortzusetzen."
de.kdd1.txt,scM_1s3,"Auf der CaravelGames.com-Website finden Sie die nächsten Episoden von KDDL oder Sie können dort eines der vollwertigen DROD-Spiele für Windows, MacOS oder Linux herunterladen."
de.kdd1.txt,scM_1s4,Bleiben Sie verspielt!
