File Name,Old Key,Translation
en.kdd1.txt,First Level,First Level
en.kdd1.txt,Second Level,Second Level
en.kdd1.txt,Third Level,Third Level
en.kdd1.txt,Fourth Level,Fourth Level
en.kdd1.txt,Mastery Level,Mastery Level
en.kdd1.txt,entr1,"Beethro Budkin, fifth-generation professional dungeon exterminator, was hired by King Dugan to clear the king's multi-level dungeon of a large monster infestation.
Beethro charges by the room, and as a professional, he is contract-bound to clear all the monsters from each and every room in the dungeon to get paid.
The only weapon Beethro needs to do his job is a Really Big Sword, which will defeat almost any monster in a single hit.

-----

""I hope you're not going to charge me for the top level. I already have that cleaned up. Well, mostly."" -King Dugan"
en.kdd1.txt,entr2,"Beethro's a bit rusty, but the next level should get him in good chopping form."
en.kdd1.txt,entr3,"""Hmm..."" pondered Beethro. ""So far, I see mostly roaches down here. This looks like a cake job."""
en.kdd1.txt,entr4,"""I wish I had some more of those mimics down here with me!"" said Beethro.  ""It would go a lot quicker."""
en.kdd1.txt,entr4Back,Beethro came back to finish the proper smiting business he was hired to do.
en.kdd1.txt,entrMaster,"Beethro descended the stairs, only to find himself in an uncharted corridor...

He won't get paid for clean-up here, but his professional honor urges him onward."
en.kdd1.txt,sc1e0,Use numerical keyboard or 789uiojkl to move around. Keys can be remapped from within the pause menu (escape).
en.kdd1.txt,sc1e1,"To reference the controls anytime you wish, hit `Escape`, click `Get General Help` and go to `How to Play`."
en.kdd1.txt,sc1_1n,"This yellow door will serve its purpose later.

For now just continue west."
en.kdd1.txt,sc1_1n1w1,Rotate your sword using `Q` and `W`.
en.kdd1.txt,sc1_1n1w2,Strike the orb with your sword to open doors in the room.
en.kdd1.txt,sc1_1n1w3,Some orbs toggle the yellow doors between their open and closed states.
en.kdd1.txt,sc1_2n1w1,You can find out what an orb does by clicking it with your mouse. Differently colored highlighted doors indicate the different effects.
en.kdd1.txt,sc1_2n1w2,"Instead of toggling a yellow door, an orb might always open or close it."
en.kdd1.txt,sc1_3n1w1,Blue gates open once you conquer all the required rooms on a given level (floor).
en.kdd1.txt,sc1_3n1w2,Required rooms are marked with a red background on the minimap.
en.kdd1.txt,sc1_3n2w1,Current speech and hovering text can be skipped with the space bar.
en.kdd1.txt,sc1_3n2w2,"Once you leave a room cleared of all monsters, it will be marked as conquered."
en.kdd1.txt,sc1_3n2w3,"On the minimap, conquered rooms are marked with white as opposed to the unconquered ones which are red."
en.kdd1.txt,sc1_3n2w4,Conquer all the required rooms to open your way to the next level.
en.kdd1.txt,sc1_4n3w,"Force arrows block both Beethro's and monsters' movement in the opposite direction."
en.kdd1.txt,sc1_4n1w,Green gates open once you clear a room of all monsters.
en.kdd1.txt,sc1_5n1w1,"Observe how the southern roach behaves when it tries to move onto a corner diagonally. To wait a turn hit ""I"" or Numpad 5."
