File Name,Old Key,Translation
es.kdd1.txt,First Level,Primer Nivel
es.kdd1.txt,Second Level,Segundo Nivel
es.kdd1.txt,Third Level,Tercer Nivel
es.kdd1.txt,Fourth Level,Cuarto Nivel
es.kdd1.txt,Mastery Level,Nivel Maestro
es.kdd1.txt,entr1,"Beethro Budkin, exterminador de mazmorras profesional de quinta generación, ha sido contratado por el Rey Dugan para limpiar su mazmorra de una gran infestación de monstruos.
Beethro cobra por cuarto y, como profesional, está obligado por contrato a acabar con todos los monstruos de todos y cada uno de los cuartos en la mazmorra, para poder ser pagado.
La única arma que Beethro necesita para realizar su trabajo es una Espada Realmente Grande, la cual derrotará casi cualquier monstruo de un solo ataque.

-----

""Espero que no me cobres por el nivel más alto. Eso ya lo he limpiado. Bueno, la mayoría."" -Rey Dugan"
es.kdd1.txt,entr2,"Beethro está un poco gastado, pero el siguiente nivel deberá dejarlo en buena forma."
es.kdd1.txt,entr3,"""Hmm..."" pensó Beethro. ""Hasta ahora, solo he visto mayormente cucarachas aquí abajo. Esto será pan comido."""
es.kdd1.txt,entr4,"""¡Ojalá tuviera más de esas mímicas aquí abajo conmigo!"" dijo Beethro. ""Iría mucho más rápido."""
es.kdd1.txt,entr4Back,Beethro volvió para terminar el negocio de exterminación apropiado para el que fue contratado.
es.kdd1.txt,entrMaster,"Beethro descendió por las escaleras, solo para encontrarse en un camino desconocido...

No le pagarán por limpiar aquí, pero su honor de profesional lo impulsa hacia adelante."
es.kdd1.txt,sc1e0,Usa el teclado numérico o 789uiojkl para moverte. Las teclas pueden ser cambiadas desde el menú de pausa (escape).
es.kdd1.txt,sc1e1,"Para ver los controles cuando quieras, presiona 'Escape', ve a 'Ver Ayuda General' y luego a 'Cómo Jugar'."
es.kdd1.txt,sc1_1n,"Esta puerta amarilla servirá más tarde.

 Por ahora solo continúa hacia el oeste."
es.kdd1.txt,sc1_1n1w1,"Gira tu espada usando 'Q' y 'W'."
es.kdd1.txt,sc1_1n1w2,Golpea el orbe con tu espada para abrir las puertas del cuarto.
es.kdd1.txt,sc1_1n1w3,Algunos orbes pueden variar su función entre abrir y cerrar puertas amarillas.
es.kdd1.txt,sc1_2n1w1,Puedes averiguar qué hace un orbe haciéndole click con el mouse. El orbe se iluminará de un color distinto dependiendo del efecto.
es.kdd1.txt,sc1_2n1w2,"En lugar de variar las funciones de una puerta amarilla, un orbe puede también solo cerrarla o abrirla."
es.kdd1.txt,sc1_3n1w1,Las puertas azules se abren una vez que has conquistado todos los cuartos requeridos de un nivel (piso) determinado.
es.kdd1.txt,sc1_3n1w2,Los cuartos requeridos están marcados con un fondo rojo en el mini-mapa.
es.kdd1.txt,sc1_3n2w1,Los diálogos y textos pueden ser salteados usando la barra espaciadora.
es.kdd1.txt,sc1_3n2w2,"Una vez que abandones un cuarto limpio de monstruos, se marcará como conquistado."
es.kdd1.txt,sc1_3n2w3,"En el mini-mapa, los cuartos conquistados son marcados en blanco a diferencia de los no conquistados, los cuales están en rojo."
es.kdd1.txt,sc1_3n2w4,Conquista todos los cuartos requeridos para adentrarte al siguiente nivel.
