File Name,Old Key,Translation
common_achievements.yml,achievement.description.hidden,???
common_achievements.yml,achievement.description.hidden_with_percent,??? (%%%)
common_achievements.yml,achievement.name.tuning_fork_in_sequence,The Tuning Fork
common_achievements.yml,achievement.description.tuning_fork_in_sequence,"Hit different orbs (%orbs%) in sequence, one per turn
You can hit the same orb multiple times but it counts only once
Multiple orb hits in the same turn count as one hit
Current streak: %count%"
common_achievements.yml,achievement.description.monster_kills_0,Kill a number of roaches (%total_count%)
common_achievements.yml,achievement.description.monster_kills_1,Kill a number of roach queens (%total_count%)
common_achievements.yml,achievement.description.monster_kills_2,Kill a number of roach eggs (%total_count%)
common_achievements.yml,achievement.description.monster_kills_3,Kill a number of goblins (%total_count%)
common_achievements.yml,achievement.description.monster_kills_5,Kill a number of wraithwings (%total_count%)
common_achievements.yml,achievement.description.monster_kills_6,Kill a number of evil eyes (%total_count%)
common_achievements.yml,achievement.description.monster_kills_7,Kill a number of serpents (%total_count%)
common_achievements.yml,achievement.description.monster_kills_8,Kill a number of tar mothers (%total_count%)
common_achievements.yml,achievement.description.monster_kills_9,Kill a number of tar babies (%total_count%)
common_achievements.yml,achievement.description.monster_kills_10,Kill a number of brains (%total_count%)
common_achievements.yml,achievement.description.monster_kills_11,Kill a number of mimics (%total_count%)
common_achievements.yml,achievement.description.monster_kills_12,Kill a number of spiders (%total_count%)
common_achievements.yml,achievement.description.rooms,Clear a number of rooms (%total_count%)
common_achievements.yml,achievement.description.total_kills,Kill a number of monsters (%total_count%)
common_achievements.yml,achievement.description.trapdoors,Drop a number of trapdoors (%total_count%)
common_achievements.yml,achievement.description.cut_tar,Cut tar a number of times (%total_count%)
common_achievements.yml,achievement.description.steps,Take a number of steps (%total_count%)
common_achievements.yml,achievement.description.deaths,Die a number of times (%total_count%)
common_achievements.yml,achievement.description.undo,Undo a number of times (%total_count%)
common_achievements.yml,achievement.name.mastery,Mastery
common_achievements.yml,achievement.description.mastery,"Master the hold
Find the end hold stairs and clear all the secret rooms
Secret rooms don't need to be cleared in one go, you can use restore"
common_achievements.yml,achievement.name.post_mastery,Post-Mastery
common_achievements.yml,achievement.description.post_mastery,Clear all challenges in the post mastery level
controls.yml,controls_move_n,Move North
controls.yml,controls_move_nw,Move Northwest
controls.yml,controls_move_ne,Move Northeast
controls.yml,controls_move_w,Move West
controls.yml,controls_move_e,Move East
controls.yml,controls_move_s,Move South
controls.yml,controls_move_sw,Move Southwest
controls.yml,controls_move_se,Move Southeast
controls.yml,controls_wait,Wait for One Turn
controls.yml,controls_turn_cw,Turn Clockwise
controls.yml,controls_turn_ccw,Turn Counter-clockwise
controls.yml,controls_undo,Undo Last Move
controls.yml,controls_restart,Restart Room
controls.yml,controls_battle,Battle Key
controls.yml,controls_lock,Lock/Unlock Room
hold.kdd1.yml,hold_name,"King Dugan's Dungeon Lite 1"
hold.kdd1.yml,level_name_1,First Level
