File Name,Old Key,Translation
fi.kdd1.txt,First Level,Ensimmäinen kerros
fi.kdd1.txt,Second Level,Toinen kerros
fi.kdd1.txt,Third Level,Kolmas kerros
fi.kdd1.txt,Fourth Level,Neljäs kerros
fi.kdd1.txt,Mastery Level,Mestaruuskerros
fi.kdd1.txt,entr1,"Beethro Budkin, vankityrmien tuholaistorjunnan ammattilainen viidennessä polvessa, on saanut tehtävän Kuningas Duganilta siivota kuninkaan monikerroksinen vankityrmä, joka kärsii vakavasta hirviöongelmasta.
Beethro veloittaa joka huoneesta erikseen, ja ammattilaisena häntä sitoo sopimuksen ehto, joka vaatii jokaisen huoneen tyhjentämistä kaikista hirviöistä palkkionsa vastineeksi.
Beethro tarvitsee vain Hyvin suuren miekan työnsä tekoon, koska sen avulla voi kukistaa miltei joka hirviön yhdellä iskulla.

-----

""Toivottavasti et veloita ylimmästä kerroksesta. Puhdistutin sen jo etukäteen. Ainakin lähes kokonaan."" --Kuningas Dugan"
fi.kdd1.txt,entr2,"Beethron taidot ovat hieman ruosteessa, mutta seuraavan tason pitäisi palauttaa hänet hyvään iskuterään."
fi.kdd1.txt,entr3,"""Hmm..."" Beehtro pohti. ""Tähän mennessä olen nähnyt enimmäkseen torakoita. Tämä vaikuttaa helpolta hommalta."""
fi.kdd1.txt,entr4,"""Olisipa minulla täällä apuna hieman useampi matkija!"" Beethro sanoi. ""Tämä sujuisi paljon nopeammin."""
fi.kdd1.txt,entr4Back,"Beethro palasi tekemään kunnolla miekkamiehen työnsä, joka hänet oli palkattu tekemään."
fi.kdd1.txt,entrMaster,"Beethro laskeutui portaita ja päätyi käytävään, jota ei näkynyt kartassa...

Hänelle ei makseta tämän paikan puhdistamisesta, mutta ammattilaisen kunnia ajaa häntä eteenpäin."
fi.kdd1.txt,sc1e0,Käytä numeronäppäimistöä tai näppäimiä 789uiojkl liikkumiseen. Näppäinvalinnat voi vaihtaa taukovalikosta (Escape).
fi.kdd1.txt,sc1e1,"Tarkistaaksesi näppäinvalinnat, paina `Escape`-nappia, klikkaa `Yleiset ohjeet`-kohtaa ja valitse `Miten pelataan?`-kohta."
