File Name,Old Key,Translation
fr.kdd1.txt,First Level,Premier niveau
fr.kdd1.txt,Second Level,Second Niveau
fr.kdd1.txt,Third Level,Troisième Niveau
fr.kdd1.txt,Fourth Level,Quatrième Niveau
fr.kdd1.txt,Mastery Level,Niveau Maître
fr.kdd1.txt,entr1,"Beethro Budkin, maître exterminateur de cinquième génération, a été embauché par le Roi Dugan pour qu'il nettoie ses vastes oubliettes infestées de monstres.
Beethro est payé à la pièce et, en tant que professionnel, son contrat l'oblige à éliminer tous les monstres de chacune des pièces des oubliettes pour être payé.
La seule arme dont Beethro a besoin pour son travail est une Très Grosse Épée, laquelle tuera presque n'importe quel monstre en un seul coup.

-----

« J'espère que vous n'allez pas me faire payer pour le premier niveau. Je l'ai déjà fait nettoyer. Enfin, plus ou moins. » – le Roi Dugan"
fr.kdd1.txt,entr2,"Beethro est un peu rouillé, mais le prochain niveau devrait le remettre en forme."
fr.kdd1.txt,entr3,"« Hmm, se dit Beethro, jusqu'ici j'ai surtout vu des cafards. Ce travail va être un jeu d'enfant. »"
fr.kdd1.txt,entr4,"« J'aimerais avoir quelques doubles de plus ici avec moi, dit Beethro, ça irait bien plus vite. »"
fr.kdd1.txt,entr4Back,Beethro revint sur ses pas pour terminer la tâche pour laquelle il avait été embauché.
fr.kdd1.txt,entrMaster,"Beethro descendit les escaliers et se retrouva dans un couloir ne figurant pas sur la carte…

Il ne serait pas payé pour le nettoyage de ces pièces, mais son honneur professionnel le poussait à continuer."
fr.kdd1.txt,sc1e0,Utilisez le pavé numérique ou les touches 789 uio jkl pour vous déplacer. Les touches peuvent être changées depuis le menu pause (échap).
fr.kdd1.txt,sc1e1,"Pour revoir les touches, appuyez sur 'échap', cliquez sur 'Aide générale' puis 'Comment Jouer'."
fr.kdd1.txt,sc1_1n,"Cette porte jaune vous sera utile plus tard.

 Pour le moment, continuez vers l'ouest."
fr.kdd1.txt,sc1_1n1w1,"Appuyez sur 'Q' ou 'W' pour tourner votre épée."
fr.kdd1.txt,sc1_1n1w2,"Frappez l'orbe pour ouvrir certaines portes de cette pièce."
fr.kdd1.txt,sc1_1n1w3,Certains orbes basculent les portes jaunes entre leur état ouvert et fermé.
fr.kdd1.txt,sc1_2n1w1,"Vous pouvez voir quel effet a un orbe en cliquant dessus. Les portes seront surlignées de différentes couleurs en fonction de l'effet."
fr.kdd1.txt,sc1_2n1w2,"Au lieu de basculer une porte, un orbe peut aussi exclusivement l'ouvrir ou la fermer."
fr.kdd1.txt,sc1_3n1w1,"Les portes bleues s'ouvrent une fois que toutes les pièces requises d'un niveau ont été conquises."
fr.kdd1.txt,sc1_3n1w2,Les pièces requises sont affichées avec un fond rouge sur la carte en bas à gauche.
fr.kdd1.txt,sc1_3n2w1,"Les dialogues en cours et les textes en surimpression peuvent être passés avec la barre d'espace."
