File Name,Old Key,Translation
nl.kdd1.txt,First Level,Eerste Level
nl.kdd1.txt,Second Level,Tweede Level
nl.kdd1.txt,Third Level,Derde Level
nl.kdd1.txt,Fourth Level,Vierde Level
nl.kdd1.txt,Mastery Level,Meesterlevel
nl.kdd1.txt,entr1,"Beethro Budkin, vijfde generatie professionele kerkerverdelger, was door Koning Dugan ingehuurd om zijn meerdere niveaus diepe kerker te ontdoen van een grote kolonie monsters.
Beethro rekent zijn kosten per kamer en als professional is hij per contract gebonden om alle monsters uit elke kamer in de kerker te verwijderen om betaald te worden.
Het enige wapen dat Beethro nodig heeft om zijn werk te doen is een Heel Groot Zwaard, dat bijna ieder monster verslaat in één enkele slag.

-----

""Ik hoop dat je niets rekent voor de bovenste verdieping. Die heb ik al laten opruimen. Nou ja, grotendeels."""
nl.kdd1.txt,entr2,"Beethro is een beetje uit vorm, maar het volgende level moet hem in goede conditie brengen."
nl.kdd1.txt,entr3,"""Hmm..."" dacht Beethro. ""Tot nu toe zie ik hier vooral kakkerlakken"". Dit ziet er uit als een makkelijk klusje."""
nl.kdd1.txt,entr4,"""Ik wou dat ik wat meer van deze mimici hier bij me had!"" zei Beethro. ""Het zou er een stuk sneller mee gaan."""
nl.kdd1.txt,entr4Back,Beethro kwam terug om netjes het opruimwerk af te maken waar hij voor ingehuurd was.
nl.kdd1.txt,entrMaster,"Beethro daalde de trap af, maar kwam terecht in een onbekende gang...

Hij wordt niet betaald om het hier op te ruimen, maar zijn professionele eer drijft hem voort."
nl.kdd1.txt,sc1e0,Gebruik de cijfertoetsen of 789uiojkl om te lopen. Toetsen kunnen worden gewijzigd vanuit het pauzemenu (escape).
nl.kdd1.txt,sc1e1,"Wanneer je de besturing wilt nalezen, Toets 'Escape', klik 'Zoek algemene hulp' en ga naar 'Speluitleg'."
nl.kdd1.txt,sc1_1n,"Deze gele deur zal later een doel hebben.

Ga nu gewoon verder naar het westen."
nl.kdd1.txt,sc1_1n1w1,"Draai je zwaard met 'Q' en 'W'."
nl.kdd1.txt,sc1_1n1w2,Sla de sfeer aan met je zwaard om deuren in de kamer te openen.
nl.kdd1.txt,sc1_1n1w3,Sommige sferen wisselen de positie van deuren tussen open en gesloten.
nl.kdd1.txt,sc1_2n1w1,Je kunt zien wat een sfeer doet door er met je muis op te klikken. Met verschillende kleuren gemarkeerde deuren tonen de verschillende effecten.
nl.kdd1.txt,sc1_2n1w2,"In plaats van te wisselen, kan een sfeer een gele deur altijd openen of sluiten."
nl.kdd1.txt,sc1_3n1w1,Blauwe poorten gaan open zodra je alle verplichte kamers overwint in een level (verdieping).
nl.kdd1.txt,sc1_3n1w2,Verplichte kamers zijn gemarkeerd met een rode achtergrond op de mini-kaart.
nl.kdd1.txt,sc1_3n2w1,De huidige dialogen en zwevende tekst kun je overslaan met de spatiebalk.
nl.kdd1.txt,sc1_3n2w2,"Zodra je een kamer verlaat met alle monsters verwijderd, wordt deze gemarkeerd als overwonnen."
nl.kdd1.txt,sc1_3n2w3,"Op de mini-kaart zijn overwonnen kamers gemarkeerd met wit, tegenover de onoverwonnen rode kamers."
nl.kdd1.txt,sc1_3n2w4,Overwin alle verplichte kamers om de weg vrij te maken naar het volgende level.
nl.kdd1.txt,sc1_4n3w,Pijlen blokkeren de bewegingen van zowel Beethro als monsters in tegengestelde richting.
nl.kdd1.txt,sc1_4n1w,Groene poorten openen zodra je alle monsters in een kamer opruimt.
