common_achievements.yml,achievement.description.cut_tar,Cut tar a number of times (%total_count%),Utnij smołę pewną ilość razy (%total_count%)
common_achievements.yml,achievement.description.deaths,Die a number of times (%total_count%),Zgiń pewną ilość razy (%total_count%)
common_achievements.yml,achievement.description.hidden,???,???
common_achievements.yml,achievement.description.hidden_with_percent,??? (%%%),??? (%%%)
common_achievements.yml,achievement.description.mastery,"Master the hold
Find the end hold stairs and clear all the secret rooms
Secret rooms don't need to be cleared in one go, you can use restore","Osiągnij Mistrzostwo
Znajdź ostatnie schody w lochu i oczyść wszystkie sekretne komnaty
Sekretne komnaty można przejść w dowolnych stanach więc korzystaj do woli z przywracania"
common_achievements.yml,achievement.description.monster_kills_0,Kill a number of roaches (%total_count%),Zabij pewną ilość karaczanów (%total_count%)
common_achievements.yml,achievement.description.monster_kills_1,Kill a number of roach queens (%total_count%),Zabij pewną ilość królowych (%total_count%)
common_achievements.yml,achievement.description.monster_kills_10,Kill a number of brains (%total_count%),Zabij pewną ilość móżdzków (%total_count%)
common_achievements.yml,achievement.description.monster_kills_11,Kill a number of mimics (%total_count%),Zabij pewną ilość mimików (%total_count%)
common_achievements.yml,achievement.description.monster_kills_12,Kill a number of spiders (%total_count%),Zabij pewną ilość pająków (%total_count%)
common_achievements.yml,achievement.description.monster_kills_2,Kill a number of roach eggs (%total_count%),Zabij pewną ilość jajek (%total_count%)
common_achievements.yml,achievement.description.monster_kills_3,Kill a number of goblins (%total_count%),Zabij pewną ilość goblinów (%total_count%)
common_achievements.yml,achievement.description.monster_kills_5,Kill a number of wraithwings (%total_count%),Zabij pewną ilość widmopierzy (%total_count%)
common_achievements.yml,achievement.description.monster_kills_6,Kill a number of evil eyes (%total_count%),Zabij pewną ilość złych oczu (%total_count%)
common_achievements.yml,achievement.description.monster_kills_7,Kill a number of serpents (%total_count%),Zabij pewną ilość pytonów (%total_count%)
common_achievements.yml,achievement.description.monster_kills_8,Kill a number of tar mothers (%total_count%),Zabij pewną ilość smołczyc (%total_count%)
common_achievements.yml,achievement.description.monster_kills_9,Kill a number of tar babies (%total_count%),Zabij pewną ilość smołków (%total_count%)
common_achievements.yml,achievement.description.post_mastery,Clear all challenges in the post mastery level,Oczyść wszystkie komnaty na poziome mistrza
common_achievements.yml,achievement.description.rooms,Clear a number of rooms (%total_count%),Oczyść pewną ilość komnat (%total_count%)
common_achievements.yml,achievement.description.steps,Take a number of steps (%total_count%),Wykonaj pewną ilość kroków (%total_count%)
common_achievements.yml,achievement.description.total_kills,Kill a number of monsters (%total_count%),Zabij pewną ilość potworów (%total_count%)
common_achievements.yml,achievement.description.trapdoors,Drop a number of trapdoors (%total_count%),Zrzuć pewną ilość zapadni (%total_count%)
common_achievements.yml,achievement.description.tuning_fork_in_sequence,"Hit different orbs (%orbs%) in sequence, one per turn
You can hit the same orb multiple times but it counts only once
Multiple orb hits in the same turn count as one hit
Current streak: %count%","Uderz kilka różnych kul (%orbs%) w sekwencji, jedna na turę
Kulę możesz uderzyć wielokrotnie, ale liczy się tylko pierwsze uderzenie
Wiele uderzeń w jednej turze liczy się jako jedno uderzenie
Obecne kombo: %count%"
common_achievements.yml,achievement.description.undo,Undo a number of times (%total_count%),Cofnij ruch pewną ilość razy (%total_count%)
common_achievements.yml,achievement.name.mastery,Mastery,Mistrzostwo
common_achievements.yml,achievement.name.post_mastery,Post-Mastery,Pomistrzostwo
common_achievements.yml,achievement.name.tuning_fork_in_sequence,The Tuning Fork,Kamerton
controls.yml,controls_battle,Battle Key,Przycisk Walki
controls.yml,controls_lock,Lock/Unlock Room,Blokada Wyjścia
controls.yml,controls_move_e,Move East,Ruch E
controls.yml,controls_move_n,Move North,Ruch N
controls.yml,controls_move_ne,Move Northeast,Ruch NE
controls.yml,controls_move_nw,Move Northwest,Ruch NW
controls.yml,controls_move_s,Move South,Ruch S
controls.yml,controls_move_se,Move Southeast,Ruch SE
controls.yml,controls_move_sw,Move Southwest,Ruch SW
controls.yml,controls_move_w,Move West,Ruch W
controls.yml,controls_restart,Restart Room,Powtórzenie Komnaty
controls.yml,controls_turn_ccw,Turn Counter-clockwise,Obrót w Lewo
controls.yml,controls_turn_cw,Turn Clockwise,Obrót w Prawo
controls.yml,controls_undo,Undo Last Move,Cofnij Ostatni Ruch
controls.yml,controls_wait,Wait for One Turn,Czekaj Turę
File Name,Old Key,Translation,Polish
hold.kdd1.yml,achievement.description.kill_queen_mother,Kill a roach queen while her eggs are growing,Zabij królową obok jej własnych jaj
hold.kdd1.yml,achievement.description.l1.6n2w,"First Level: 6N2W
Don't hide in the alcove","Pierwszy Poziom: 6N2W
Nie korzystaj z wnęki"
hold.kdd1.yml,achievement.description.l2.1n1e,"Yes, you should be so destructive","Tak, poddaj się żadzy niszczenia"
hold.kdd1.yml,achievement.description.l2.1s,"Second Level: 1S
After hitting the orb do not rotate your sword and clear the room","Drugi Poziom: 1S
Po uderzeniu w kulę nie obracaj się i oczyśc komnatę"
hold.kdd1.yml,achievement.description.l2.2e,"Second Level: 2E
Kill the roach queen before she reaches the northeast corner and clear the room","Drugi Poziom: 2E
Zabij królową zanim dotrze do północno wschodniego rogu i oczyśc komnatę"
hold.kdd1.yml,achievement.description.l2.2s2e,"Second Level: 2S2E
Clear the room before queens lay any eggs","Drugi Poziom: 2S2E
Oczyść komnatę zanim królowe złożą jaja"
hold.kdd1.yml,achievement.description.l2.2s3e,"Second Level: 2S3E
Clear the room before queens lay any eggs","Drugi Poziom: 2S3E
Oczyść komnatę zanim królowe złożą jaja"
hold.kdd1.yml,achievement.description.l2.3n,"Second Level: 3N
Clear the room without turning your sword","Drugi Poziom: 3N
Oczyść komnatę bez obracania"
hold.kdd1.yml,achievement.description.l3.1n1e,"Third Level: 1N1E
Clear the room without queens laying any eggs","Trzeci Poziom: 1N1E
Oczyść komnatę zanim królowe złożą jaja"
hold.kdd1.yml,achievement.description.l3.1n1w,"Third Level: 1N1W
Clear the room without drinking the potion","Trzeci Poziom: 1N1W
Oczyść komnate bez wypicia mikstury"
hold.kdd1.yml,achievement.description.l3.1n2w,"Third Level: 1N2W
Clear the room without drinking the potion","Trzeci Poziom: 1N2W
Oczyść komnate bez wypicia mikstury"
hold.kdd1.yml,achievement.description.l3.1s,"Third Level: 1S
Solve The Eight Gates of Bill in 5 orb hits","Trzeci Poziom: 1S
Rozwiąż Osiem Wrót Billa uderzająć w kule 5 razy"
hold.kdd1.yml,achievement.description.l3.2n,"Third Level: 2N
Reach the scroll without reentering the room","Trzeci Poziom: 2N
Dotrzyj do zwoju bez ponownego wchodzenia do komnaty"
hold.kdd1.yml,achievement.description.l3.2n1e,"Third Level: 2N1E
Release all three roaches before killing any of them","Trzeci Poziom: 2N1E
Wypuść wszystkie karaczany przed zabiciem któregokolwiek"
hold.kdd1.yml,achievement.description.l3.3n,"Third Level: 3N
Clear the room without drinking the potion or turning your sword","Trzeci Poziom: 3N
Oczyść komnatę bez picia mikstury i obracania"
hold.kdd1.yml,achievement.description.l4.1n,"Fourth Level: 1N
Clear the room without returning to the entrance corridor","Czwarty Poziom: 1N
Oczyść komnatę bez wracania na początkowy korytarz"
hold.kdd1.yml,achievement.description.l4.1s1e,"Fourth Level: 1S1E
Clear without drinking the mimic potion","Czwarty Poziom: 1S1E
Oczyść komnatę bez wypicia mikstury"
hold.kdd1.yml,achievement.description.l4.1s2e,"Fourth Level: 1S2E
Drop all trapdoors and clear the room on the same visit","Czwarty Poziom: 1S2E
Zrzuć wszystkie zapadnie i oczyść komnatę za jednym wejściem"
hold.kdd1.yml,achievement.description.l4.2e,"Fourth Level: 2E
Have good style","Czwarty Poziom: 2E
Miej dobry styl"
hold.kdd1.yml,achievement.description.l4.2s1e,"Fourth Level: 2S1E
Drop all trapdoors and clear the room on the same visit","Czwarty Poziom: 2S1E
Zrzuć wszystkie zapadnie i oczyść komnatę za jednym wejściem"
hold.kdd1.yml,achievement.description.level_1,Clear First Level,Oczyść Pierwszy Poziom
hold.kdd1.yml,achievement.description.level_2,Clear Second Level,Oczyść Drugi Poziom
hold.kdd1.yml,achievement.description.level_3,Clear Third Level,Oczyść Trzeci Poziom
hold.kdd1.yml,achievement.description.level_4,Clear Fourth Level,Oczyść Czwarty Poziom
hold.kdd1.yml,achievement.description.wake_up_eyes,Wake up three evil eyes in the same turn,Obudź trzy gały w jednej turze
hold.kdd1.yml,achievement.descriptions.l1.steady_hand,"First Level:
Clear 7 infested, non-secret rooms without turning your sword.
Got %rooms%","Pierwszy Poziom:
Oczyść 7 niesekretnych komnat z potworami bez obracania
Masz: %rooms%"
hold.kdd1.yml,achievement.name.deaths,Respawner,Odrodziciel
hold.kdd1.yml,achievement.name.kill_queen_mother,Matricide,Matkobójca
hold.kdd1.yml,achievement.name.l1.6n2w,Fine Swordsman,Sprawny Szermierz
hold.kdd1.yml,achievement.name.l1.steady_hand,Steady Hand,Pewna Ręka
hold.kdd1.yml,achievement.name.l2.1n1e,I Woke Up and Just Hated Everything,Obudziłem się i Nienawidziłem Wszystkiego
hold.kdd1.yml,achievement.name.l2.1s,One-way Ticket,Bilet w Jedną Stronę
hold.kdd1.yml,achievement.name.l2.2e,Queenburger,Królowoburger
hold.kdd1.yml,achievement.name.l2.2s2e,Be Quick!,Szybko!
