File Name,Old Key,Translation
pl.kdd1.txt,First Level,Pierwsze Piętro
pl.kdd1.txt,Second Level,Drugie Piętro
pl.kdd1.txt,Third Level,Trzecie Piętro
pl.kdd1.txt,Fourth Level,Czwarte Piętro
pl.kdd1.txt,Mastery Level,Mistrzowskie Piętro
pl.kdd1.txt,entr1,"

Beethro Budki - profesjonalny eksterminator piątego pokolenia - został zatrudniony przez Króla Dugana by oczyścić jego wielopoziomowe lochy z inwazji robactwa i bestii. Chociaż Beethro nalicza opłate od każdej oczyszczonej komnaty jako profesjonalny ekstermistrz związany jest kontraktem do oczyszczenia każdej komnaty na każdym poziomie by w ogóle zobaczyć pieniądze. Jedyną bronią jakiej potrzebuje to Naprawdę Wielki Miecz, którym potrafi zabić prawie każdą bestię jednym, celnym ciosem.

-----

"Mam nadzieję, że nie będziesz kazał mi płacić za pierwsze piętro, już je wyczyściliśmy. No, prawie." -Król Dugan"
pl.kdd1.txt,entr2,"
Ostatnimi czasy Beethro nieco zaniedbał swoje umiejętnośc ale kolejne piętro powinno przywrócić go do dawnej, ciętej formy.
Beethro ostatnimi czasy odrobinę zaniedbał swoje umiejętności, ale kolejne piętro powinno przywrócić mu dawną ciętą formę."
pl.kdd1.txt,entr3,"
"Hmm..." rozmyślał Beethro. "Jak na razie to spotkałem głównie same karaczany. Wygląda na to, że to będzie bułka z masłem.""
pl.kdd1.txt,entr4,"
"Przydałoby się więcej mimików!" powiedział Beethro. "Poszłoby o wiele szybciej.""
pl.kdd1.txt,entr4Back,"Beethro wrócił by dokończyć zlecone mu siekanie potworów.
pl.kdd1.txt,entrMaster,"Beethro zszedłszy po schodach znalazł się w niezbadanym korytarzu...

Dugan nie zapłaci mu za ich oczyszczenie ale jego profesjonalizm popycha go naprzód."
pl.kdd1.txt,sc1e0,"Użyj klawiatury numerycznej lub klawiszy 789 UIO JKL, by się poruszać. Klawisze sterowania można zmienić w opcjach menu pauzy (klawisz Escape)."
pl.kdd1.txt,sc1e1,"By przypomnieć sobie sterowanie, możesz w każdej chwili wcisnąć `Escape`, wybrać `Pomoc` i następnie `Jak Grać`."
pl.kdd1.txt,sc1_1n,"Te żółte drzwi później spełnią bardzo ważną funkcję.

 Tymczasem kontynuuj podróż na zachód."
pl.kdd1.txt,sc1_1n1w1,Obracaj mieczem używając klawiszy `Q` i `W`.
pl.kdd1.txt,sc1_1n1w2,"Uderz mieczem w sferę, by otworzyć drzwi w tym pomieszczeniu."
pl.kdd1.txt,sc1_1n1w3,Niektóre sfery zmieniają stan drzwi między otwartym a zamkniętym.
pl.kdd1.txt,sc1_2n1w1,"Możesz sprawdzić, co robi sfera klikając w nią myszką. Różne kolory podświetlenia oznaczają różne rzeczy."
pl.kdd1.txt,sc1_2n1w2,Sfery mogą zawsze także otwierać lub zamykać drzwi.
pl.kdd1.txt,sc1_3n1w1,"Niebieska brama otworzy się, gdy pokonasz wszystkie wymagane pomieszczenia na piętrze."
pl.kdd1.txt,sc1_3n1w2,Wymagane pomieszczenia oznaczone są na mini-mapie czerwonym tłem.
pl.kdd1.txt,sc1_3n2w1,Wyświetlane rozmowy można ominąć wciskając `Spację`.
pl.kdd1.txt,sc1_3n2w2,"Po opuszczeniu oczyszczonego z potworów pomieszczenia, zostanie ono oznaczone jako pokonane."
pl.kdd1.txt,sc1_3n2w3,Pokonane pomieszczenia oznaczone są na mini-mapie białym tłem.
pl.kdd1.txt,sc1_3n2w4,"Pokonaj wszystkie pomieszczenia, by otworzyć sobie drogę do kolejnego piętra."
pl.kdd1.txt,sc1_4n3w,Strzałki blokują ruch Beethro i potworów w przeciwnym kierunku do wskazanego.
pl.kdd1.txt,sc1_4n1w,Zielona brama otworzy się po zabiciu wszystkich potworów w pomieszczeniu.
pl.kdd1.txt,sc1_5n1w1,"Zwróć uwagę jak południowy karaluch zachowa się, gdy spróbuje skośnie wejść na róg przeszkody. By odczekać turę wciśnij `I` lub Numeryczne 5."
pl.kdd1.txt,sc1_5n1w2,"Większość potworów preferuje ruch w pionie, gdy mają zablokowany ruch po skosie."
pl.kdd1.txt,sc1_5n2w1,"Pamiętaj, że możesz kliknąć na sferę, by zobaczyć, na które bramy ma wpływ."
pl.kdd1.txt,sc1_5n2w2,"Uważaj! Tu jest dość niebezpiecznie.

 Jeżeli popełnisz błąd, wciśnij `Backspace`, by cofnąć do trzech ostatnich ruchów."
pl.kdd1.txt,sc1_5n2w3,Cofać (i restartować) można także podczas odgrywania animacji umierania!
pl.kdd1.txt,sc1_5n2w4,"Po dotknięciu punktu kontrolnego (X) możesz cofnąć etap do tego momentu. Wciśnij `R`, by powtórzyć pomieszczenie lub wrócić do ostatnie punktu kontrolnego."
pl.kdd1.txt,sc1_6n2w,Porządny szermierz potrafi pokonać karaluchy bez chowania się we wnęce.
pl.kdd1.txt,sc1_6n3w1,"Wykorzystaj technikę zakroku, by zabić karalucha."
pl.kdd1.txt,sc1_6n3w2,"Stań na zielonej podłodze i upewnij się, że karaluch stoi na piaskowym polu dokładnie na północ od Beethro..."
pl.kdd1.txt,sc1_6n3w3,"Stań na zielonej podłodze i upewnij się, że karaluch stoi na piaskowym polu dokładnie na południe od Beethro..."
pl.kdd1.txt,sc1_6n3w4,"...i zrób krok na północny-wschód, by go zabić."
pl.kdd1.txt,sc1_6n3w5,"...i zrób krok na południowy-wschód, by go zabić."
pl.kdd1.txt,sc1_6n3w6,"Powtórz sobie kilka razy, by zapamiętać technikę zakroku. Opanowanie zakroku jest niezbędne, by osiągnąć sukces."
pl.kdd1.txt,sc1_5n1,Wyjście awaryjne zamknięte dla użytku publicznego.
pl.kdd1.txt,sc1_5n2,"Sorks, a nie miemy zamiary kańczać robota gdyczas wkółko biegują tyle robalami!"
pl.kdd1.txt,sc1_4n,Prosimy zamykać drzwi do szklarni.
pl.kdd1.txt,sc1_1n1e,"Te schody prowadzą na kolejne piętro. Strzeż się tego, co możesz tam spotkać..."
pl.kdd1.txt,sc2_2n1,"Czy wiesz, że jeżeli przytrzymasz klawisz `Shift` wykonując jakąś akcję, Beethro wykona też jej odwrotność?"
pl.kdd1.txt,sc2_2n2,"`Shift`+Czekaj pozwala Ci czekać do końca cyklu rozpłodowego, a Numeryczny `+` lub `=` wykonuje odwrotność ostatniej akcji."
pl.kdd1.txt,sc2_1n1e,Nie za dużo w tobie żądzy niszczenia?
pl.kdd1.txt,sc2e,"Zacznij od pomieszczeń na północ stąd, by uniknąć zbędnego cofania się."
pl.kdd1.txt,sc2_1s3e1,"Jeżeli chcesz zapobiec przypadkowemu opuszczeniu pomieszczenia, wciśnij przycisk `X`."
pl.kdd1.txt,sc2_1s3e2,"Mała kłódka na mini-mapie oznacza, że pomieszczenie jest zablokowane."
pl.kdd1.txt,sc2_1s,"Nie rób tego! Wiesz przecież, co się stanie!"
pl.kdd1.txt,sc2_2s3e,"Dobre wyczucie czasu sprawia, że wszystko jest łatwiejsze."
pl.kdd1.txt,sc3_3n,Musze cię ostrzec przed mimikami. Nie są twoimi przyjaciółmi ani wrogami -- po prostu egzystują powtarzając po tobie każdy ruch. Nie odwracaj się do nich plecami.
pl.kdd1.txt,sc3_3n1e,"Wszyscy więźniowie zostali zjedzeni przez karaluchy, a ja jestem następny! Żadna forsa mi tego nie wynagrodzi, zmywam się stąd!

 -Nadzorca Więzienia"
pl.kdd1.txt,sc3_2n,"Da się przejść do tego korytarza bez wychodzenia z pomieszczenia, gdy już je oczyścisz."
pl.kdd1.txt,sc3_1n1w,"Nawet, gdy jesteś niewidzialny, potwory wciąż mogą wyczuć twój zapach."
pl.kdd1.txt,sc3_1e,"Taki długi spacer. Można odnieść wrażenie, że kompletnie niepotrzebny."
pl.kdd1.txt,sc3_1s,"Osiem Bram Billa -- zaprawdę przeraźliwa zagadka. Kiedyś była dużo trudniejsza, ale teraz możesz podejrzeć, co robią sfery."
pl.kdd1.txt,sc3_2s1w,"Dam ci rade -- zawsze, gdy widzisz długi i męczący korytarz, rozejrzyj się w poszukiwaniu skrótu."
pl.kdd1.txt,sc3_2s1,"Zawracaj! Czy wiesz, że tylko w zeszłym roku zgony powiązane z lochami wzrosły o 32 procent?"
pl.kdd1.txt,sc3_2s2,"Nie da się ukryć -- eksploracja lochów NIE jest bezpieczna, szczególnie pod wpływem. / -RPŚL (Rodzice Przeciwko Śmierci w Lochach)"
pl.kdd1.txt,sc4_2n1e1,"To jest Ściana Mistrzów. Nie otworzy się, dopóki nie pokonasz Holda oraz wszystkich sekretów."
pl.kdd1.txt,sc4_2n1e2,W oryginalnym KDD w tym pomieszczeniu były schody pozwalające ominąć piętro lub dwa.
pl.kdd1.txt,sc4_1n1,"Podpowiedź: Nie potrzebujesz pomocy mimika, by zabić karalucha na wejściu."
pl.kdd1.txt,sc4_1n2,"Podpowiedź: Wyćwicz do perfekcji technikę zakroku, która jest nieodzowna, gdy potwory otaczają Cię z każdej strony."
pl.kdd1.txt,sc4_2e,"Jeżeli masz dobry styl, wszystkie 9 mimików będzie stało w ładnej linii."
pl.kdd1.txt,scMe1,Trudniejsze wersje istniejących pomieszczeń.
pl.kdd1.txt,scMe2,Ostatnie słowa!
pl.kdd1.txt,scMe3,"Trudne, oryginalne pomieszczenia."
pl.kdd1.txt,scM_1s1,"I to by było na tyle. Udało Ci się osiągnąć wszystko, co się da w tej grze. Jedyne co mogło pozostać to kilka osiągnięć."
