File Name,Old Key,Translation
pt.kdd1.txt,First Level,Primeiro Nível
pt.kdd1.txt,Second Level,Segundo Nível
pt.kdd1.txt,Third Level,Terceiro Nível
pt.kdd1.txt,Fourth Level,Quarto Nível
pt.kdd1.txt,Mastery Level,Nível de Maestria
pt.kdd1.txt,entr1,"Beethro Budkin, exterminador de masmorras profissional de quinta geração, foi contratado pelo rei Dugan para limpar a masmorra multi-nível real, infestada por uma grande quantidade de monstros.
Beethro cobra por sala, e sendo um profissional, ele é obrigado pelo seu contrato a eliminar todos os monstros de cada sala para ser pago.
A única arma que Beethro precisa para fazer seu trabalho é uma Espada Muito Grande, que pode derrotar quase qualquer monstro com um único golpe.

-----

""Espero que você não me cobre pelo nível superior. Eu já arranjei a limpeza dele. Bom, a maior parte."" -Rei Dugan"
pt.kdd1.txt,entr2,"Beethro está meio enferrujado, mas o próximo nível deve deixá-lo em forma."
pt.kdd1.txt,entr3,"""Hmm..."" Beethro pensou. ""Até agora, a maioria desses monstros são baratas. Este trabalho parece bolinho."""
pt.kdd1.txt,entr4,"""Queria ter mais alguns destes duplos aqui comigo!"" disse Beethro.  ""Ia ser muito mais rápido."""
pt.kdd1.txt,entr4Back,Beethro voltou pra terminar o negócio de limpeza que ele foi contratado para fazer.
pt.kdd1.txt,entrMaster,"Beethro desceu as escadas, só para encontrar um corredor fora do mapa...

Ele não vai receber pela limpeza deste nível, mas a sua honra profissional o empurra pra frente."
pt.kdd1.txt,sc1e0,Use o teclado numérico ou 789uiojkl para se movimentar. Teclas podem ser remapeadas do menu de pausa (Esc).
pt.kdd1.txt,sc1e1,"Para rever os controles quando quiser, tecle 'Esc', clique em 'Ajuda Geral' e vá para 'Como Jogar'."
pt.kdd1.txt,sc1_1n,"Esta porta amarela vai ser usada mais tarde. 

 Por enquanto continue para o oeste."
pt.kdd1.txt,sc1_1n1w1,"Gire sua espada usando 'Q' e 'W'."
pt.kdd1.txt,sc1_1n1w2,Acerte a orbe com a sua espada para abrir portas na sala.
pt.kdd1.txt,sc1_1n1w3,Algumas orbes alternam as portas amarelas entre o estado de aberta e fechada.
pt.kdd1.txt,sc1_2n1w1,Você pode descobrir o que uma orbe faz se clicar nela com o mouse. Portas iluminadas em cores diferentes indicam efeitos diferentes.
pt.kdd1.txt,sc1_2n1w2,"Em vez de alternar uma porta amarela, uma orbe pode somente abrí-la ou fechá-la."
pt.kdd1.txt,sc1_3n1w1,Portões azuis abrem quando você conquistar todas as salas requeridas de um nível (andar).
pt.kdd1.txt,sc1_3n1w2,Salas requeridas estão marcadas com um fundo vermelho no mini-mapa.
pt.kdd1.txt,sc1_3n2w1,Texto de fala e texto informativo na tela pode ser removido da tela com a barra de espaço.
pt.kdd1.txt,sc1_3n2w2,"Quando você sair de uma sala que foi limpa de monstros, ela será marcada como conquistada."
pt.kdd1.txt,sc1_3n2w3,"No mini-mapa, salas conquistadas estão marcadas em branco ao invés de vermelho."
pt.kdd1.txt,sc1_3n2w4,Conquiste todas as salas requeridas para abrir a passagem para o próximo nível.
pt.kdd1.txt,sc1_4n3w,Flechas obrigatórias bloqueiam o movimento de Beethro e dos monstros na direção contrária.
pt.kdd1.txt,sc1_4n1w,Portões verdes abrem quando você limpar os monstros de uma sala.
pt.kdd1.txt,sc1_5n1w1,"Observe como a barata de baixo se comporta quando tenta passar por um canto diagonalmente. Para esperar um turno aperte 'I' ou 5 no Numpad."
pt.kdd1.txt,sc1_5n1w2,"A maioria dos monstros que encontrarem uma quina quando tentarem andar na diagonal vão deslizar verticalmente, se possível."
pt.kdd1.txt,sc1_5n2w1,Lembre-se que você pode clicar numa orbe com o mouse para ver quais portas ela afeta.
pt.kdd1.txt,sc1_5n2w2,"Cuidado! Aqui é perigoso.

Se você cometer um erro, aperte 'Backspace' para desfazer até três jogadas."
