File Name,Old Key,Translation
ru.kdd1.txt,First Level,Первый Уровень
ru.kdd1.txt,Second Level,Второй Уровень
ru.kdd1.txt,Third Level,Третий Уровень
ru.kdd1.txt,Fourth Level,Четвёртый Уровень
ru.kdd1.txt,Mastery Level,Зона Мастера
ru.kdd1.txt,entr1,"Битро Бадкин, профессиональный зачиститель подземелий пятого поколения, был нанят Королём Дуганом, чтобы очистить многоэтажные королевские темницы от огромного скопища монстров.
Битро заплатят за каждую комнату, и как профессионал, по контракту он обязуется очистить все комнаты в подземелье, перед тем как получить оплату.
Единственное оружие, нужное Битро для работы - это его Очень Большой Меч, разящий почти любого монстра с одного удара.

-----

""Надеюсь, что уж за верхний-то уровень мне не придётся платить. Мне его уже и так почистили. Ну, по большей части."" -Король Дуган"
ru.kdd1.txt,entr2,"Битро немного не в форме, но следующий уровень быстро заставит его вспомнить былые навыки."
ru.kdd1.txt,entr3,"""Хмм... пока что я вижу только тараканов"", подумал Битро, ""работка выглядит непыльной""."
ru.kdd1.txt,entr4,"""Ах, если бы я мог взять с собой побольше двойников на нижние уровни"", сказал Битро. ""Дело бы пошло намного быстрее."""
ru.kdd1.txt,entr4Back,"Битро вернулся завершить работу по зачистке, на которую он был нанят."
ru.kdd1.txt,entrMaster,"Битро спустился по ступеням и оказался в не отмеченном на карте коридоре...

За зачистку этого места он не получит платы, но профессиональная гордость не позволяет ему оставить уровень неочищенным."
ru.kdd1.txt,sc1e0,Используйте цифровую клавиатуру или 789 гшщ олд (789uiojkl) для передвижения. Кнопки могут быть перенастроены в Меню (Escape).
ru.kdd1.txt,sc1e1,"Для просмотра кнопок управления в любой момент, нажмите Escape и выберите `Как Играть` а затем `Общая Помощь`."
ru.kdd1.txt,sc1_1n,"Значение этой жёлтой двери будет ясно позже.

Пока что просто продолжайте идти на запад."
ru.kdd1.txt,sc1_1n1w1,Поворачивайте меч кнопками `Й` и `Ц` (`Q` и `W`).
